,Comments,Tokens,Filtered Tokens,Stemmed Filtered Tokens,Lemmatized Filtered Tokens,Afinn Score of Lem,Afinn Overall Score of Lem,Afinn Sentiment,Bing Positive Tokens,Bing Positive count,Bing Negative Tokens,Bing Negative count,Bing Score,Bing Sentiment,Unknown Tokens
353,how can i trust bharatpe that my money is safe in interest account? i don't received salman khan qr- kit and xtra income card which i have order two months ago. xtra income card yet to shipped. my heart unable to trust bharatpe after reading review. how can i believe that bharat pe is trustable platform for receiving payment? answer me. thank you,"['how', 'can', 'i', 'trust', 'bharatpe', 'that', 'my', 'money', 'is', 'safe', 'in', 'interest', 'account', 'i', 'don', 't', 'received', 'salman', 'khan', 'qr', 'kit', 'and', 'xtra', 'income', 'card', 'which', 'i', 'have', 'order', 'two', 'months', 'ago', 'xtra', 'income', 'card', 'yet', 'to', 'shipped', 'my', 'heart', 'unable', 'to', 'trust', 'bharatpe', 'after', 'reading', 'review', 'how', 'can', 'i', 'believe', 'that', 'bharat', 'pe', 'is', 'trustable', 'platform', 'for', 'receiving', 'payment', 'answer', 'me', 'thank', 'you']","['trust', 'safe', 'interest', 'account', 'received', 'salman', 'khan', 'kit', 'xtra', 'income', 'card', 'months', 'xtra', 'income', 'card', 'shipped', 'heart', 'unable', 'trust', 'reading', 'review', 'trustable', 'platform', 'receiving', 'payment', 'answer']","['trust', 'safe', 'interest', 'account', 'receiv', 'salman', 'khan', 'kit', 'xtra', 'incom', 'card', 'month', 'xtra', 'incom', 'card', 'ship', 'heart', 'unabl', 'trust', 'read', 'review', 'trustabl', 'platform', 'receiv', 'payment', 'answer']","['trust', 'safe', 'interest', 'account', 'receive', 'salman', 'khan', 'kit', 'xtra', 'income', 'card', 'months', 'xtra', 'income', 'card', 'ship', 'heart', 'unable', 'trust', 'read', 'review', 'trustable', 'platform', 'receive', 'payment', 'answer']","[1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[2.0],positive,"['trust', 'safe', 'trust']",3,['unable'],1,2,positive,"['interest', 'account', 'receive', 'salman', 'khan', 'kit', 'xtra', 'income', 'card', 'months', 'xtra', 'income', 'card', 'ship', 'heart', 'read', 'review', 'trustable', 'platform', 'receive', 'payment', 'answer']"
354,"just applied,, can't say anything exactly of the service now but still rating with 2 stars with a hope.","['just', 'applied', 'can', 't', 'say', 'anything', 'exactly', 'of', 'the', 'service', 'now', 'but', 'still', 'rating', 'with', '2', 'stars', 'with', 'a', 'hope']","['applied', 'service', 'rating', 'stars', 'hope']","['appli', 'servic', 'rate', 'star', 'hope']","['apply', 'service', 'rat', 'star', 'hope']","[0.0, 0.0, 0.0, 0.0, 2.0]",[2.0],positive,[],0,[],0,0,neutral,"['apply', 'service', 'rat', 'star', 'hope']"
355,qr code download option is not available but this facility is available in phonpe and pytm. that's why i give you 2 star thanking you one star more for qr code download option but there is need one more update in qr code display name. like business name on on qr code thanking you. bharatpe loan deneki as dikhakara sabko ullu janata he.,"['qr', 'code', 'download', 'option', 'is', 'not', 'available', 'but', 'this', 'facility', 'is', 'available', 'in', 'phonpe', 'and', 'pytm', 'that', 's', 'why', 'i', 'give', 'you', '2', 'star', 'thanking', 'you', 'one', 'star', 'more', 'for', 'qr', 'code', 'download', 'option', 'but', 'there', 'is', 'need', 'one', 'more', 'update', 'in', 'qr', 'code', 'display', 'name', 'like', 'business', 'name', 'on', 'on', 'qr', 'code', 'thanking', 'you', 'bharatpe', 'loan', 'deneki', 'as', 'dikhakara', 'sabko', 'ullu', 'janata', 'he']","['download', 'option', 'facility', 'phonpe', 'pytm', 'star', 'thanking', 'star', 'download', 'option', 'update', 'display', 'business', 'thanking', 'deneki', 'dikhakara', 'sabko', 'ullu', 'janata']","['download', 'option', 'facil', 'phonp', 'pytm', 'star', 'thank', 'star', 'download', 'option', 'updat', 'display', 'busi', 'thank', 'deneki', 'dikhakara', 'sabko', 'ullu', 'janata']","['download', 'option', 'facility', 'phonpe', 'pytm', 'star', 'thank', 'star', 'download', 'option', 'update', 'display', 'business', 'thank', 'deneki', 'dikhakara', 'sabko', 'ullu', 'janata']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[4.0],positive,"['thank', 'thank']",2,[],0,2,positive,"['download', 'option', 'facility', 'phonpe', 'pytm', 'star', 'star', 'download', 'option', 'update', 'display', 'business', 'deneki', 'dikhakara', 'sabko', 'ullu', 'janata']"
356,three times i paid on time but once late and now i am not eligible.its so bad experience you should check previous loans and then decide .i even pay last installment on time .,"['three', 'times', 'i', 'paid', 'on', 'time', 'but', 'once', 'late', 'and', 'now', 'i', 'am', 'not', 'eligible', 'its', 'so', 'bad', 'experience', 'you', 'should', 'check', 'previous', 'loans', 'and', 'then', 'decide', 'i', 'even', 'pay', 'last', 'installment', 'on', 'time']","['times', 'paid', 'eligible', 'experience', 'check', 'previous', 'loans', 'decide', 'installment']","['time', 'paid', 'elig', 'experi', 'check', 'previous', 'loan', 'decid', 'instal']","['time', 'pay', 'eligible', 'experience', 'check', 'previous', 'loan', 'decide', 'installment']","[0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[-1.0],negative,[],0,[],0,0,neutral,"['time', 'pay', 'eligible', 'experience', 'check', 'previous', 'loan', 'decide', 'installment']"
357,when customer scans he gets bharatpe merchant pls update app to display store name this helps customers to recognize the store he is paying otherwise app is good,"['when', 'customer', 'scans', 'he', 'gets', 'bharatpe', 'merchant', 'pls', 'update', 'app', 'to', 'display', 'store', 'name', 'this', 'helps', 'customers', 'to', 'recognize', 'the', 'store', 'he', 'is', 'paying', 'otherwise', 'app', 'is', 'good']","['customer', 'scans', 'merchant', 'update', 'display', 'helps', 'customers', 'recognize', 'paying']","['custom', 'scan', 'merchant', 'updat', 'display', 'help', 'custom', 'recogn', 'pay']","['customer', 'scan', 'merchant', 'update', 'display', 'help', 'customers', 'recognize', 'pay']","[0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, -1.0]",[1.0],positive,[],0,[],0,0,neutral,"['customer', 'scan', 'merchant', 'update', 'display', 'help', 'customers', 'recognize', 'pay']"
358,i got the limit of rupees 3500 but not be able to avail it,"['i', 'got', 'the', 'limit', 'of', 'rupees', '3500', 'but', 'not', 'be', 'able', 'to', 'avail', 'it']","['limit', '3500', 'avail']","['limit', '3500', 'avail']","['limit', '3500', 'avail']","[0.0, 0.0, 0.0]",[0.0],neutral,[],0,['limit'],1,-1,negative,"['3500', 'avail']"
359,every time when i start this application it's ask me to login,"['every', 'time', 'when', 'i', 'start', 'this', 'application', 'it', 's', 'ask', 'me', 'to', 'login']","['start', 'application', 'login']","['start', 'applic', 'login']","['start', 'application', 'login']","[0.0, 0.0, 0.0]",[0.0],neutral,[],0,[],0,0,neutral,"['start', 'application', 'login']"
360,i took last month 1000 later i did repayment then i took 2k tht also i paid jst by two days late then later it's said reapply after one month then tdy is tht day now when i trying to take loan it's showing error loading response from server.... plz help me to get loan,"['i', 'took', 'last', 'month', '1000', 'later', 'i', 'did', 'repayment', 'then', 'i', 'took', '2k', 'tht', 'also', 'i', 'paid', 'jst', 'by', 'two', 'days', 'late', 'then', 'later', 'it', 's', 'said', 'reapply', 'after', 'one', 'month', 'then', 'tdy', 'is', 'tht', 'day', 'now', 'when', 'i', 'trying', 'to', 'take', 'loan', 'it', 's', 'showing', 'error', 'loading', 'response', 'from', 'server', 'plz', 'help', 'me', 'to', 'get', 'loan']","['month', 'repayment', '2k', 'tht', 'paid', 'jst', 'days', 'reapply', 'month', 'tdy', 'tht', 'error', 'loading', 'response', 'server', 'help']","['month', 'repay', '2k', 'tht', 'paid', 'jst', 'day', 'reappli', 'month', 'tdi', 'tht', 'error', 'load', 'respons', 'server', 'help']","['month', 'repayment', '2k', 'tht', 'pay', 'jst', 'days', 'reapply', 'month', 'tdy', 'tht', 'error', 'load', 'response', 'server', 'help']","[0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0, 0.0, 0.0, 0.0, 2.0]",[-1.0],negative,[],0,['error'],1,-1,negative,"['month', 'repayment', '2k', 'tht', 'pay', 'jst', 'days', 'reapply', 'month', 'tdy', 'tht', 'load', 'response', 'server', 'help']"
361,i have applied a loan application on 24 may 20 its has been pending since long today i received a text from payme that your loan has been approved kindly upload bank statement while i uploaded bank statement then i saw on payme dashboard its showing rejected apply again and there is no option for apply...what is this ???? what a bug in your app..i request you to guys.please don't waste our time.,"['i', 'have', 'applied', 'a', 'loan', 'application', 'on', '24', 'may', '20', 'its', 'has', 'been', 'pending', 'since', 'long', 'today', 'i', 'received', 'a', 'text', 'from', 'payme', 'that', 'your', 'loan', 'has', 'been', 'approved', 'kindly', 'upload', 'bank', 'statement', 'while', 'i', 'uploaded', 'bank', 'statement', 'then', 'i', 'saw', 'on', 'payme', 'dashboard', 'its', 'showing', 'rejected', 'apply', 'again', 'and', 'there', 'is', 'no', 'option', 'for', 'apply', 'what', 'is', 'this', 'what', 'a', 'bug', 'in', 'your', 'app', 'i', 'request', 'you', 'to', 'guys', 'please', 'don', 't', 'waste', 'our', 'time']","['applied', 'application', '24', '20', 'pending', 'received', 'payme', 'approved', 'kindly', 'upload', 'bank', 'statement', 'uploaded', 'bank', 'statement', 'payme', 'dashboard', 'rejected', 'apply', 'option', 'apply', 'bug', 'guys']","['appli', 'applic', '24', '20', 'pend', 'receiv', 'paym', 'approv', 'kind', 'upload', 'bank', 'statement', 'upload', 'bank', 'statement', 'paym', 'dashboard', 'reject', 'appli', 'option', 'appli', 'bug', 'guy']","['apply', 'application', '24', '20', 'pending', 'receive', 'payme', 'approve', 'kindly', 'upload', 'bank', 'statement', 'upload', 'bank', 'statement', 'payme', 'dashboard', 'reject', 'apply', 'option', 'apply', 'bug', 'guy']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[-1.0],negative,"['approve', 'kindly']",2,"['reject', 'bug']",2,0,neutral,"['apply', 'application', '24', '20', 'pending', 'receive', 'payme', 'upload', 'bank', 'statement', 'upload', 'bank', 'statement', 'payme', 'dashboard', 'apply', 'option', 'apply', 'guy']"
362,"i have paid my emi today, it has been delayed for 6 days due to some financil problem.... next emi is on july.... so why too much sms reminder to pay the entire amount in advance.... i think this app was so helpful,,,, but why you all doing this....","['i', 'have', 'paid', 'my', 'emi', 'today', 'it', 'has', 'been', 'delayed', 'for', '6', 'days', 'due', 'to', 'some', 'financil', 'problem', 'next', 'emi', 'is', 'on', 'july', 'so', 'why', 'too', 'much', 'sms', 'reminder', 'to', 'pay', 'the', 'entire', 'amount', 'in', 'advance', 'i', 'think', 'this', 'app', 'was', 'so', 'helpful', 'but', 'why', 'you', 'all', 'doing', 'this']","['paid', 'emi', 'delayed', 'days', 'financil', 'emi', 'july', 'sms', 'reminder', 'entire', 'amount', 'advance']","['paid', 'emi', 'delay', 'day', 'financil', 'emi', 'juli', 'sms', 'remind', 'entir', 'amount', 'advanc']","['pay', 'emi', 'delay', 'days', 'financil', 'emi', 'july', 'sms', 'reminder', 'entire', 'amount', 'advance']","[-1.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[-2.0],negative,[],0,['delay'],1,-1,negative,"['pay', 'emi', 'days', 'financil', 'emi', 'july', 'sms', 'reminder', 'entire', 'amount', 'advance']"
363,"charges are high compared to other apps, many other apps are providing loans at lower interest rate.","['charges', 'are', 'high', 'compared', 'to', 'other', 'apps', 'many', 'other', 'apps', 'are', 'providing', 'loans', 'at', 'lower', 'interest', 'rate']","['charges', 'compared', 'apps', 'apps', 'providing', 'loans', 'interest', 'rate']","['charg', 'compar', 'app', 'app', 'provid', 'loan', 'interest', 'rate']","['charge', 'compare', 'apps', 'apps', 'provide', 'loan', 'interest', 'rate']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",[1.0],positive,[],0,[],0,0,neutral,"['charge', 'compare', 'apps', 'apps', 'provide', 'loan', 'interest', 'rate']"
364,my profile is approved and showing on app that money will disburse soon.. but from last 2 days i'm waiting for that tranction don't know is this is a service how supposed it will come in emergency help. i was impressed before but after this incident i'm so much dissapointed.,"['my', 'profile', 'is', 'approved', 'and', 'showing', 'on', 'app', 'that', 'money', 'will', 'disburse', 'soon', 'but', 'from', 'last', '2', 'days', 'i', 'm', 'waiting', 'for', 'that', 'tranction', 'don', 't', 'know', 'is', 'this', 'is', 'a', 'service', 'how', 'supposed', 'it', 'will', 'come', 'in', 'emergency', 'help', 'i', 'was', 'impressed', 'before', 'but', 'after', 'this', 'incident', 'i', 'm', 'so', 'much', 'dissapointed']","['profile', 'approved', 'disburse', 'days', 'waiting', 'tranction', 'service', 'supposed', 'emergency', 'help', 'impressed', 'incident', 'dissapointed']","['profil', 'approv', 'disburs', 'day', 'wait', 'tranction', 'servic', 'suppos', 'emerg', 'help', 'impress', 'incid', 'dissapoint']","['profile', 'approve', 'disburse', 'days', 'wait', 'tranction', 'service', 'suppose', 'emergency', 'help', 'impress', 'incident', 'dissapointed']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0, 2.0, 3.0, 0.0, 0.0]",[3.0],positive,"['approve', 'impress']",2,"['emergency', 'dissapointed']",2,0,neutral,"['profile', 'disburse', 'days', 'wait', 'tranction', 'service', 'suppose', 'help', 'incident']"
365,not the ok this app more than past days covid reason this time not give a loan but another app give a loan,"['not', 'the', 'ok', 'this', 'app', 'more', 'than', 'past', 'days', 'covid', 'reason', 'this', 'time', 'not', 'give', 'a', 'loan', 'but', 'another', 'app', 'give', 'a', 'loan']","['days', 'covid', 'reason']","['day', 'covid', 'reason']","['days', 'covid', 'reason']","[0.0, 0.0, 0.0]",[0.0],neutral,[],0,[],0,0,neutral,"['days', 'covid', 'reason']"
366,i didn't got loan amount in bank account ur home page showing repayment of money what is this,"['i', 'didn', 't', 'got', 'loan', 'amount', 'in', 'bank', 'account', 'ur', 'home', 'page', 'showing', 'repayment', 'of', 'money', 'what', 'is', 'this']","['amount', 'bank', 'account', 'repayment']","['amount', 'bank', 'account', 'repay']","['amount', 'bank', 'account', 'repayment']","[0.0, 0.0, 0.0, 0.0]",[0.0],neutral,[],0,[],0,0,neutral,"['amount', 'bank', 'account', 'repayment']"
367,why the application is not working .before lockdown this app is great but now it's not working..,"['why', 'the', 'application', 'is', 'not', 'working', 'before', 'lockdown', 'this', 'app', 'is', 'great', 'but', 'now', 'it', 's', 'not', 'working']","['application', 'lockdown']","['applic', 'lockdown']","['application', 'lockdown']","[0.0, 0.0]",[0.0],neutral,[],0,[],0,0,neutral,"['application', 'lockdown']"
368,how to delete bharat pay accounts and my bank account permanently,"['how', 'to', 'delete', 'bharat', 'pay', 'accounts', 'and', 'my', 'bank', 'account', 'permanently']","['delete', 'accounts', 'bank', 'account', 'permanently']","['delet', 'account', 'bank', 'account', 'perman']","['delete', 'account', 'bank', 'account', 'permanently']","[0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],neutral,[],0,[],0,0,neutral,"['delete', 'account', 'bank', 'account', 'permanently']"
369,"the worst loan third-party, i took a loan through shubloan the third party is incred, i set a auto debit to my emi they are triggered my check 3 to 4 times per month, in each and every month i pay the negative balance around 3500 to my bank","['the', 'worst', 'loan', 'third', 'party', 'i', 'took', 'a', 'loan', 'through', 'shubloan', 'the', 'third', 'party', 'is', 'incred', 'i', 'set', 'a', 'auto', 'debit', 'to', 'my', 'emi', 'they', 'are', 'triggered', 'my', 'check', '3', 'to', '4', 'times', 'per', 'month', 'in', 'each', 'and', 'every', 'month', 'i', 'pay', 'the', 'negative', 'balance', 'around', '3500', 'to', 'my', 'bank']","['party', 'shubloan', 'party', 'set', 'auto', 'debit', 'emi', 'triggered', 'check', 'times', 'month', 'month', 'negative', 'balance', '3500', 'bank']","['parti', 'shubloan', 'parti', 'set', 'auto', 'debit', 'emi', 'trigger', 'check', 'time', 'month', 'month', 'negat', 'balanc', '3500', 'bank']","['party', 'shubloan', 'party', 'set', 'auto', 'debit', 'emi', 'trigger', 'check', 'time', 'month', 'month', 'negative', 'balance', '3500', 'bank']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0, 0.0, 0.0, 0.0]",[-2.0],negative,[],0,['negative'],1,-1,negative,"['party', 'shubloan', 'party', 'set', 'auto', 'debit', 'emi', 'trigger', 'check', 'time', 'month', 'month', 'balance', '3500', 'bank']"
370,all of done but loan was under process not good thing,"['all', 'of', 'done', 'but', 'loan', 'was', 'under', 'process', 'not', 'good', 'thing']",['process'],['process'],['process'],[0.0],[0.0],neutral,[],0,[],0,0,neutral,['process']
371,"iss loan me puri details dene k baad bhi error hi ata hai ,,don't download this","['iss', 'loan', 'me', 'puri', 'details', 'dene', 'k', 'baad', 'bhi', 'error', 'hi', 'ata', 'hai', 'don', 't', 'download', 'this']","['iss', 'puri', 'details', 'error', 'ata', 'download']","['iss', 'puri', 'detail', 'error', 'ata', 'download']","['iss', 'puri', 'detail', 'error', 'ata', 'download']","[0.0, 0.0, 0.0, -2.0, 0.0, 0.0]",[-2.0],negative,[],0,['error'],1,-1,negative,"['iss', 'puri', 'detail', 'ata', 'download']"
372,if loan got approved then i would give you 5 stars,"['if', 'loan', 'got', 'approved', 'then', 'i', 'would', 'give', 'you', '5', 'stars']","['approved', 'stars']","['approv', 'star']","['approve', 'star']","[0.0, 0.0]",[0.0],neutral,['approve'],1,[],0,1,positive,['star']
373,thanks for the first time my personal life with me for,"['thanks', 'for', 'the', 'first', 'time', 'my', 'personal', 'life', 'with', 'me', 'for']",['life'],['life'],['life'],[0.0],[0.0],neutral,[],0,[],0,0,neutral,['life']
374,"responsible call back, but i not need of a health card, the person who connected to me from lendingcart is selling the health card and then he will move my loan file forward, i don't understand why they r doing this, and then he says you can cancel the loan u need, and disconnected the call","['responsible', 'call', 'back', 'but', 'i', 'not', 'need', 'of', 'a', 'health', 'card', 'the', 'person', 'who', 'connected', 'to', 'me', 'from', 'lendingcart', 'is', 'selling', 'the', 'health', 'card', 'and', 'then', 'he', 'will', 'move', 'my', 'loan', 'file', 'forward', 'i', 'don', 't', 'understand', 'why', 'they', 'r', 'doing', 'this', 'and', 'then', 'he', 'says', 'you', 'can', 'cancel', 'the', 'loan', 'u', 'need', 'and', 'disconnected', 'the', 'call']","['responsible', 'health', 'card', 'person', 'connected', 'lendingcart', 'selling', 'health', 'card', 'file', 'understand', 'cancel', 'disconnected']","['respons', 'health', 'card', 'person', 'connect', 'lendingcart', 'sell', 'health', 'card', 'file', 'understand', 'cancel', 'disconnect']","['responsible', 'health', 'card', 'person', 'connect', 'lendingcart', 'sell', 'health', 'card', 'file', 'understand', 'cancel', 'disconnect']","[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0]",[1.0],positive,[],0,[],0,0,neutral,"['responsible', 'health', 'card', 'person', 'connect', 'lendingcart', 'sell', 'health', 'card', 'file', 'understand', 'cancel', 'disconnect']"
375,"i took a loan rs1000, then there showing you have to pay,rs1549. and when i gone for pay i show rs-1640. !!! it's very embarrassed, why you guys taking a hidden charges.you should mention before. you guys.che****rr...??","['i', 'took', 'a', 'loan', 'rs1000', 'then', 'there', 'showing', 'you', 'have', 'to', 'pay', 'rs1549', 'and', 'when', 'i', 'gone', 'for', 'pay', 'i', 'show', 'rs', '1640', 'it', 's', 'very', 'embarrassed', 'why', 'you', 'guys', 'taking', 'a', 'hidden', 'charges', 'you', 'should', 'mention', 'before', 'you', 'guys', 'che', 'rr']","['rs1000', 'rs1549', 'rs', '1640', 'embarrassed', 'guys', 'hidden', 'charges', 'mention', 'guys', 'che', 'rr']","['rs1000', 'rs1549', 'rs', '1640', 'embarrass', 'guy', 'hidden', 'charg', 'mention', 'guy', 'che', 'rr']","['rs1000', 'rs1549', 'rs', '1640', 'embarrass', 'guy', 'hide', 'charge', 'mention', 'guy', 'che', 'rr']","[0.0, 0.0, 0.0, 0.0, -2.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[-3.0],negative,[],0,['embarrass'],1,-1,negative,"['rs1000', 'rs1549', 'rs', '1640', 'guy', 'hide', 'charge', 'mention', 'guy', 'che', 'rr']"
376,when i am try to fill the application saying error in bank details even i am giving correct details...check this error,"['when', 'i', 'am', 'try', 'to', 'fill', 'the', 'application', 'saying', 'error', 'in', 'bank', 'details', 'even', 'i', 'am', 'giving', 'correct', 'details', 'check', 'this', 'error']","['application', 'error', 'bank', 'details', 'correct', 'details', 'check', 'error']","['applic', 'error', 'bank', 'detail', 'correct', 'detail', 'check', 'error']","['application', 'error', 'bank', 'detail', 'correct', 'detail', 'check', 'error']","[0.0, -2.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0]",[-4.0],negative,['correct'],1,"['error', 'error']",2,-1,negative,"['application', 'bank', 'detail', 'detail', 'check']"
377,"changing bank account is so difficult.. make some easy process through which we can change our bank account easily.. to change a bank ac it need a cancelled cheque.. but how could we get a cancelled chaque if we have some ac like airtel payment bank, paytm bank","['changing', 'bank', 'account', 'is', 'so', 'difficult', 'make', 'some', 'easy', 'process', 'through', 'which', 'we', 'can', 'change', 'our', 'bank', 'account', 'easily', 'to', 'change', 'a', 'bank', 'ac', 'it', 'need', 'a', 'cancelled', 'cheque', 'but', 'how', 'could', 'we', 'get', 'a', 'cancelled', 'chaque', 'if', 'we', 'have', 'some', 'ac', 'like', 'airtel', 'payment', 'bank', 'paytm', 'bank']","['changing', 'bank', 'account', 'difficult', 'process', 'change', 'bank', 'account', 'easily', 'change', 'bank', 'cancelled', 'cheque', 'cancelled', 'chaque', 'airtel', 'payment', 'bank', 'bank']","['chang', 'bank', 'account', 'difficult', 'process', 'chang', 'bank', 'account', 'easili', 'chang', 'bank', 'cancel', 'chequ', 'cancel', 'chaqu', 'airtel', 'payment', 'bank', 'bank']","['change', 'bank', 'account', 'difficult', 'process', 'change', 'bank', 'account', 'easily', 'change', 'bank', 'cancel', 'cheque', 'cancel', 'chaque', 'airtel', 'payment', 'bank', 'bank']","[0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[-3.0],negative,[],0,['difficult'],1,-1,negative,"['change', 'bank', 'account', 'process', 'change', 'bank', 'account', 'easily', 'change', 'bank', 'cancel', 'cheque', 'cancel', 'chaque', 'airtel', 'payment', 'bank', 'bank']"
378,i don't know why these people are saying it's a good application during lockdown they served how is this possible i had taken loan from this application 6 times..i can say that they provided the good service earlier but but currently they are not giving any option to apply and during this time i tried to apply it's appear like we are going to serve after 30th june....what the hell is this such a fake app and fake reviews they are showing to get the data base.. during this period...,"['i', 'don', 't', 'know', 'why', 'these', 'people', 'are', 'saying', 'it', 's', 'a', 'good', 'application', 'during', 'lockdown', 'they', 'served', 'how', 'is', 'this', 'possible', 'i', 'had', 'taken', 'loan', 'from', 'this', 'application', '6', 'times', 'i', 'can', 'say', 'that', 'they', 'provided', 'the', 'good', 'service', 'earlier', 'but', 'but', 'currently', 'they', 'are', 'not', 'giving', 'any', 'option', 'to', 'apply', 'and', 'during', 'this', 'time', 'i', 'tried', 'to', 'apply', 'it', 's', 'appear', 'like', 'we', 'are', 'going', 'to', 'serve', 'after', '30th', 'june', 'what', 'the', 'hell', 'is', 'this', 'such', 'a', 'fake', 'app', 'and', 'fake', 'reviews', 'they', 'are', 'showing', 'to', 'get', 'the', 'data', 'base', 'during', 'this', 'period']","['people', 'application', 'lockdown', 'served', 'application', 'times', 'service', 'earlier', 'option', 'apply', 'apply', 'serve', '30th', 'june', 'reviews', 'data', 'base', 'period']","['peopl', 'applic', 'lockdown', 'serv', 'applic', 'time', 'servic', 'earlier', 'option', 'appli', 'appli', 'serv', '30th', 'june', 'review', 'data', 'base', 'period']","['people', 'application', 'lockdown', 'serve', 'application', 'time', 'service', 'earlier', 'option', 'apply', 'apply', 'serve', '30th', 'june', 'review', 'data', 'base', 'period']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],neutral,[],0,[],0,0,neutral,"['people', 'application', 'lockdown', 'serve', 'application', 'time', 'service', 'earlier', 'option', 'apply', 'apply', 'serve', '30th', 'june', 'review', 'data', 'base', 'period']"
379,when i was adding my bank details they are saying error in it . i will not suggest anyone to apply loan from here,"['when', 'i', 'was', 'adding', 'my', 'bank', 'details', 'they', 'are', 'saying', 'error', 'in', 'it', 'i', 'will', 'not', 'suggest', 'anyone', 'to', 'apply', 'loan', 'from', 'here']","['adding', 'bank', 'details', 'error', 'apply']","['ad', 'bank', 'detail', 'error', 'appli']","['add', 'bank', 'detail', 'error', 'apply']","[0.0, 0.0, 0.0, -2.0, 0.0]",[-2.0],negative,[],0,['error'],1,-1,negative,"['add', 'bank', 'detail', 'apply']"
380,worest app june 5 i have transferred money till now i did not get,"['worest', 'app', 'june', '5', 'i', 'have', 'transferred', 'money', 'till', 'now', 'i', 'did', 'not', 'get']","['worest', 'june', 'transferred']","['worest', 'june', 'transfer']","['worest', 'june', 'transfer']","[0.0, 0.0, 0.0]",[0.0],neutral,[],0,[],0,0,neutral,"['worest', 'june', 'transfer']"
381,not good because my first cradit line approved 5000. and successfully i paid on time. second time my approved 3500 very funny. and also charging processing fee. as you commited 2nd time never charge processing fee and loan amount higher than 5000. sorry to say but not impressive as i feel first time.,"['not', 'good', 'because', 'my', 'first', 'cradit', 'line', 'approved', '5000', 'and', 'successfully', 'i', 'paid', 'on', 'time', 'second', 'time', 'my', 'approved', '3500', 'very', 'funny', 'and', 'also', 'charging', 'processing', 'fee', 'as', 'you', 'commited', '2nd', 'time', 'never', 'charge', 'processing', 'fee', 'and', 'loan', 'amount', 'higher', 'than', '5000', 'sorry', 'to', 'say', 'but', 'not', 'impressive', 'as', 'i', 'feel', 'first', 'time']","['cradit', 'approved', '5000', 'successfully', 'paid', 'approved', '3500', 'funny', 'charging', 'processing', 'fee', 'commited', '2nd', 'charge', 'processing', 'fee', 'amount', '5000', 'impressive']","['cradit', 'approv', '5000', 'success', 'paid', 'approv', '3500', 'funni', 'charg', 'process', 'fee', 'commit', '2nd', 'charg', 'process', 'fee', 'amount', '5000', 'impress']","['cradit', 'approve', '5000', 'successfully', 'pay', 'approve', '3500', 'funny', 'charge', 'process', 'fee', 'commit', '2nd', 'charge', 'process', 'fee', 'amount', '5000', 'impressive']","[0.0, 0.0, 0.0, 3.0, -1.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0]",[10.0],positive,"['approve', 'successfully', 'approve', 'impressive']",4,['funny'],1,3,positive,"['cradit', '5000', 'pay', '3500', 'charge', 'process', 'fee', 'commit', '2nd', 'charge', 'process', 'fee', 'amount', '5000']"
